date,msci
12/09/2010,322.830
12/10/2010,323.939
12/13/2010,326.217
12/14/2010,326.989
12/15/2010,324.861
12/16/2010,324.605
12/17/2010,324.259
12/20/2010,324.522
12/21/2010,327.603
12/22/2010,328.233
12/23/2010,328.229
12/24/2010,328.400
12/27/2010,327.997
12/28/2010,328.612
12/29/2010,329.839
12/30/2010,329.662
12/31/2010,330.636
01/03/2011,332.870
01/04/2011,333.225
01/05/2011,332.146
01/06/2011,331.578
01/07/2011,330.764
01/10/2011,329.040
01/11/2011,330.789
01/12/2011,335.194
01/13/2011,336.721
01/14/2011,337.416
01/17/2011,336.847
01/18/2011,338.971
01/19/2011,337.420
01/20/2011,333.650
01/21/2011,335.048
01/24/2011,337.195
01/25/2011,336.885
01/26/2011,338.791
01/27/2011,339.392
01/28/2011,334.543
01/31/2011,335.581
02/01/2011,340.981
02/02/2011,341.720
02/03/2011,341.001
02/04/2011,341.247
02/07/2011,342.923
02/08/2011,344.631
02/09/2011,342.853
02/10/2011,341.017
02/11/2011,341.791
02/14/2011,343.219
02/15/2011,343.036
02/16/2011,344.939
02/17/2011,346.775
02/18/2011,347.831
02/21/2011,346.764
02/22/2011,341.569
02/23/2011,339.516
02/24/2011,338.529
02/25/2011,342.189
02/28/2011,344.823
03/01/2011,342.608
03/02/2011,342.000
03/03/2011,345.703
03/04/2011,345.342
03/07/2011,342.957
03/08/2011,343.592
03/09/2011,343.262
03/10/2011,336.677
03/11/2011,336.727
03/14/2011,334.006
03/15/2011,326.489
03/16/2011,324.033
03/17/2011,328.180
03/18/2011,330.119
03/21/2011,335.091
03/22/2011,336.288
03/23/2011,336.565
03/24/2011,339.771
03/25/2011,340.544
03/28/2011,339.376
03/29/2011,340.035
03/30/2011,343.419
03/31/2011,343.640
04/01/2011,345.661
04/04/2011,346.911
04/05/2011,346.538
04/06/2011,348.046
04/07/2011,347.182
04/08/2011,348.720
04/11/2011,347.869
04/12/2011,343.661
04/13/2011,345.070
04/14/2011,344.454
04/15/2011,344.761
04/18/2011,339.283
04/19/2011,341.134
04/20/2011,348.007
04/21/2011,350.830
04/22/2011,350.850
04/25/2011,349.976
04/26/2011,352.001
04/27/2011,353.007
04/28/2011,355.952
04/29/2011,356.902
05/02/2011,357.722
05/03/2011,354.917
05/04/2011,351.738
05/05/2011,347.832
05/06/2011,348.746
05/09/2011,347.469
05/10/2011,350.456
05/11/2011,348.423
05/12/2011,346.306
05/13/2011,344.419
05/16/2011,342.648
05/17/2011,340.891
05/18/2011,344.067
05/19/2011,344.818
05/20/2011,342.805
05/23/2011,336.630
05/24/2011,337.524
