date,msci
12/08/2010,"1,246.557"
12/09/2010,"1,251.218"
12/10/2010,"1,256.518"
12/13/2010,"1,265.317"
12/14/2010,"1,267.705"
12/15/2010,"1,259.680"
12/16/2010,"1,260.039"
12/17/2010,"1,257.844"
12/20/2010,"1,259.819"
12/21/2010,"1,271.278"
12/22/2010,"1,273.729"
12/23/2010,"1,273.478"
12/24/2010,"1,274.416"
12/27/2010,"1,272.939"
12/28/2010,"1,275.537"
12/29/2010,"1,279.085"
12/30/2010,"1,276.694"
12/31/2010,"1,280.071"
01/03/2011,"1,287.943"
01/04/2011,"1,289.261"
01/05/2011,"1,285.137"
01/06/2011,"1,283.658"
01/07/2011,"1,281.406"
01/10/2011,"1,275.612"
01/11/2011,"1,282.234"
01/12/2011,"1,298.465"
01/13/2011,"1,305.339"
01/14/2011,"1,308.996"
01/17/2011,"1,307.422"
01/18/2011,"1,316.174"
01/19/2011,"1,308.809"
01/20/2011,"1,295.093"
01/21/2011,"1,302.543"
01/24/2011,"1,312.184"
01/25/2011,"1,310.928"
01/26/2011,"1,318.323"
01/27/2011,"1,321.140"
01/28/2011,"1,302.126"
01/31/2011,"1,308.083"
02/01/2011,"1,330.270"
02/02/2011,"1,332.772"
02/03/2011,"1,329.934"
02/04/2011,"1,331.653"
02/07/2011,"1,339.437"
02/08/2011,"1,347.356"
02/09/2011,"1,342.337"
02/10/2011,"1,337.849"
02/11/2011,"1,340.994"
02/14/2011,"1,344.831"
02/15/2011,"1,344.274"
02/16/2011,"1,352.026"
02/17/2011,"1,359.682"
02/18/2011,"1,362.622"
02/21/2011,"1,358.097"
02/22/2011,"1,338.118"
02/23/2011,"1,329.900"
02/24/2011,"1,327.056"
02/25/2011,"1,341.300"
02/28/2011,"1,351.647"
03/01/2011,"1,340.888"
03/02/2011,"1,337.943"
03/03/2011,"1,352.052"
03/04/2011,"1,348.436"
03/07/2011,"1,338.869"
03/08/2011,"1,341.045"
03/09/2011,"1,339.582"
03/10/2011,"1,313.553"
03/11/2011,"1,315.074"
03/14/2011,"1,301.314"
03/15/2011,"1,271.869"
03/16/2011,"1,260.150"
03/17/2011,"1,279.695"
03/18/2011,"1,287.129"
03/21/2011,"1,307.420"
03/22/2011,"1,311.008"
03/23/2011,"1,311.618"
03/24/2011,"1,324.041"
03/25/2011,"1,325.852"
03/28/2011,"1,321.605"
03/29/2011,"1,323.812"
03/30/2011,"1,335.975"
03/31/2011,"1,334.925"
04/01/2011,"1,341.445"
04/04/2011,"1,345.622"
04/05/2011,"1,343.637"
04/06/2011,"1,348.861"
04/07/2011,"1,345.196"
04/08/2011,"1,351.431"
04/11/2011,"1,348.647"
04/12/2011,"1,333.854"
04/13/2011,"1,338.749"
04/14/2011,"1,336.540"
04/15/2011,"1,338.038"
04/18/2011,"1,316.907"
04/19/2011,"1,324.452"
04/20/2011,"1,350.218"
04/21/2011,"1,360.954"
04/22/2011,"1,361.028"
04/25/2011,"1,357.499"
04/26/2011,"1,366.686"
